Simulator Results
Date:, Wed Jun 30 13:36:18 CEST 2021

Simulator Configuration
Simulation Type:,Terminating
Project Name:,vehicle_ADVISE_model
Study Name:,rangeStudy
Random Number Generator:,Mersenne Twister
Random Number Seed:,31415
Maximum Batches:,10000
Minimum Batches:,1000
Data Reporting Frequency:,1000
Display Update Frequency:,1000
BuildType:,Normal
Execution Architecture:,64-bit
Runname:,Results
Output File:,Results_output.txt
Results File:,Results_results
Jackknife Variance:,On
Processors Per Experiment:,1
Maximize Processor Usage:,false
Processors Selected for Simulation:
student-VirtualBox,amd64

Experiment 1
Experiment 1,Start Time:,Wed Jun 30 13:36:16 CEST 2021
Experiment 1,Finish Time:,Wed Jun 30 13:36:18 CEST 2021
Experiment 1,Elapsed Running Time:,1.798
Experiment 1,Total CPU Time:,0.292571
Experiment 1,Batches Completed:,1000
Experiment 1,Experiment Name:,Experiment 1
Experiment 1, Results
Experiment 1,Result Type,Name,Start Time,End Time,Mean,,Confidence Interval,Failed To Converge
Experiment 1,Mean,reverseEngineering,55.0,55.0,5.0000000000E00 ,+/-,5.2245774697E-09
Experiment 1,Mean,reverseEngineering,60.0,60.0,5.0000000000E00 ,+/-,5.2245774697E-09
Experiment 1,Mean,script,0.0,0.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,5.0,5.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,10.0,10.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,15.0,15.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,20.0,20.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,25.0,25.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,30.0,30.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,35.0,35.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,40.0,40.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,45.0,45.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,50.0,50.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,55.0,55.0,7.0000000000E00 ,+/-,0.0000000000E00 
Experiment 1,Mean,script,60.0,60.0,7.0000000000E00 ,+/-,0.0000000000E00 

<END_MOBIUS_RESULTS>
